City,Parameter,Status,AIC,MAE,RMSE,MAPE,Model_File
Bijapur,wind_speed_2m,Success,4944.63,1.073,1.383,39.8%,sarima_Bijapur_wind_speed_2m.pkl
Bijapur,wind_speed_50m,Success,6258.84,1.567,2.063,30.4%,sarima_Bijapur_wind_speed_50m.pkl
Bikaner,wind_power_density_10m,Success,14869.91,31.261,47.396,239.6%,sarima_Bikaner_wind_power_density_10m.pkl
Bijapur,wind_power_density_50m,Success,19302.30,124.728,180.873,258.8%,sarima_Bijapur_wind_power_density_50m.pkl
Bikaner,wind_speed_50m,Success,5626.89,1.437,1.798,33.8%,sarima_Bikaner_wind_speed_50m.pkl
Bikaner,wind_speed_10m,Success,4865.80,1.114,1.428,34.1%,sarima_Bikaner_wind_speed_10m.pkl
Brahmanvel,wind_speed_10m,Success,5208.63,1.011,1.441,26.4%,sarima_Brahmanvel_wind_speed_10m.pkl
Bikaner,wind_power_density_50m,Success,17079.39,70.391,101.507,229.2%,sarima_Bikaner_wind_power_density_50m.pkl
Bikaner,wind_speed_2m,Success,4290.46,0.936,1.194,39.5%,sarima_Bikaner_wind_speed_2m.pkl
Brahmanvel,wind_power_density_10m,Success,16146.92,41.669,67.167,211.9%,sarima_Brahmanvel_wind_power_density_10m.pkl
Brahmanvel,wind_speed_50m,Success,5929.25,1.325,1.818,25.3%,sarima_Brahmanvel_wind_speed_50m.pkl
Brahmanvel,wind_speed_2m,Success,4347.20,0.786,1.105,30.7%,sarima_Brahmanvel_wind_speed_2m.pkl
Brahmanvel,wind_power_density_50m,Success,18349.27,92.216,143.644,175.3%,sarima_Brahmanvel_wind_power_density_50m.pkl
Chennai,wind_speed_2m,Success,3835.10,0.678,0.890,25.5%,sarima_Chennai_wind_speed_2m.pkl
Chennai,wind_speed_10m,Success,4518.12,0.859,1.135,24.7%,sarima_Chennai_wind_speed_10m.pkl
Chennai,wind_power_density_10m,Success,16031.08,27.998,45.445,197.1%,sarima_Chennai_wind_power_density_10m.pkl
Chennai,wind_speed_50m,Success,5311.44,1.167,1.497,25.8%,sarima_Chennai_wind_speed_50m.pkl
Chennai,wind_power_density_50m,Success,18145.05,63.064,95.671,186.4%,sarima_Chennai_wind_power_density_50m.pkl
Chitradurga,wind_speed_10m,Success,5605.13,1.243,1.555,34.7%,sarima_Chitradurga_wind_speed_10m.pkl
Chitradurga,wind_power_density_10m,Success,16719.26,52.310,67.437,317.5%,sarima_Chitradurga_wind_power_density_10m.pkl
Chitradurga,wind_speed_50m,Success,6291.76,1.527,1.893,30.7%,sarima_Chitradurga_wind_speed_50m.pkl
Chittoor,wind_power_density_10m,Success,14030.85,16.655,35.136,141.3%,sarima_Chittoor_wind_power_density_10m.pkl
Chittoor,wind_speed_10m,Success,4244.78,0.791,1.054,25.9%,sarima_Chittoor_wind_speed_10m.pkl
Chitradurga,wind_speed_2m,Success,4759.78,0.952,1.183,37.5%,sarima_Chitradurga_wind_speed_2m.pkl
Chittoor,wind_speed_50m,Success,5230.82,1.147,1.461,26.3%,sarima_Chittoor_wind_speed_50m.pkl
Chitradurga,wind_power_density_50m,Success,18964.06,109.627,141.430,240.5%,sarima_Chitradurga_wind_power_density_50m.pkl
Chittoor,wind_power_density_50m,Success,17060.57,53.608,91.198,148.9%,sarima_Chittoor_wind_power_density_50m.pkl
Chittoor,wind_speed_2m,Success,3361.45,0.584,0.773,28.1%,sarima_Chittoor_wind_speed_2m.pkl
Cuddalore,wind_speed_50m,Success,5549.73,1.346,1.624,28.1%,sarima_Cuddalore_wind_speed_50m.pkl
Coimbatore,wind_power_density_10m,Success,14357.00,18.707,22.397,492.2%,sarima_Coimbatore_wind_power_density_10m.pkl
Cuddalore,wind_speed_10m,Success,4883.64,1.045,1.285,26.0%,sarima_Cuddalore_wind_speed_10m.pkl
Cuddalore,wind_power_density_10m,Success,16454.95,43.481,62.990,132.8%,sarima_Cuddalore_wind_power_density_10m.pkl
Coimbatore,wind_power_density_50m,Success,17036.54,52.690,62.448,419.9%,sarima_Coimbatore_wind_power_density_50m.pkl
Coimbatore,wind_speed_10m,Success,4798.40,0.905,1.102,41.2%,sarima_Coimbatore_wind_speed_10m.pkl
Coimbatore,wind_speed_50m,Success,5654.49,1.277,1.548,39.7%,sarima_Coimbatore_wind_speed_50m.pkl
Coimbatore,wind_speed_2m,Success,3711.77,0.621,0.752,44.1%,sarima_Coimbatore_wind_speed_2m.pkl
Cuddalore,wind_power_density_50m,Success,18197.25,81.760,114.238,146.7%,sarima_Cuddalore_wind_power_density_50m.pkl
Cuddalore,wind_speed_2m,Success,4202.32,0.826,1.016,24.8%,sarima_Cuddalore_wind_speed_2m.pkl
Daman,wind_power_density_10m,Success,15360.93,35.800,67.443,140.3%,sarima_Daman_wind_power_density_10m.pkl
Daman,wind_speed_50m,Success,5698.22,1.363,1.845,25.2%,sarima_Daman_wind_speed_50m.pkl
Daman,wind_speed_10m,Success,4809.77,0.986,1.401,24.3%,sarima_Daman_wind_speed_10m.pkl
Daman,wind_speed_2m,Success,3976.17,0.773,1.076,27.4%,sarima_Daman_wind_speed_2m.pkl
Daman,wind_power_density_50m,Success,17863.42,89.301,153.077,144.1%,sarima_Daman_wind_power_density_50m.pkl
Darjeeling,wind_power_density_50m,Success,11377.28,8.753,15.986,98.8%,sarima_Darjeeling_wind_power_density_50m.pkl
Davangere,wind_speed_50m,Success,6492.23,1.656,2.082,30.1%,sarima_Davangere_wind_speed_50m.pkl
Darjeeling,wind_power_density_10m,Success,8666.73,3.757,6.451,71.9%,sarima_Darjeeling_wind_power_density_10m.pkl
Davangere,wind_speed_10m,Success,5877.51,1.403,1.754,34.8%,sarima_Davangere_wind_speed_10m.pkl
Davangere,wind_power_density_10m,Success,17434.84,73.285,96.304,319.8%,sarima_Davangere_wind_power_density_10m.pkl
Darjeeling,wind_speed_2m,Success,553.19,0.286,0.385,21.1%,sarima_Darjeeling_wind_speed_2m.pkl
Darjeeling,wind_speed_10m,Success,1977.06,0.452,0.616,19.7%,sarima_Darjeeling_wind_speed_10m.pkl
Darjeeling,wind_speed_50m,Success,3116.77,0.639,0.887,22.6%,sarima_Darjeeling_wind_speed_50m.pkl
Davangere,wind_speed_2m,Success,5056.89,1.076,1.346,37.5%,sarima_Davangere_wind_speed_2m.pkl
Davangere,wind_power_density_50m,Success,19543.54,146.334,191.955,240.2%,sarima_Davangere_wind_power_density_50m.pkl
Delhi,wind_speed_50m,Success,5435.00,1.331,1.652,34.0%,sarima_Delhi_wind_speed_50m.pkl
Delhi,wind_speed_10m,Success,4123.23,0.851,1.065,32.2%,sarima_Delhi_wind_speed_10m.pkl
